file,artist,region,from_gain,to_gain,from_tempo,to_tempo,tempo_offset,interval_phase,interval,interval_offset,active
beatles_lucy_eyes_01.wav,The Beatles,eye,1,1,0.125,0.125,0.5,8,2,0,1
beatles_lucy_eyes_03.wav,The Beatles,eye,1,1,0.125,0.125,0.5,8,2,1,1
beatles_lucy_eyes_02.wav,The Beatles,eye,1,1,0.5,0.5,0,1,1,0,1
beatles_sgt_peppers_hearts_02.wav,The Beatles,heart,1,1,0.5,0.5,0.5,2,3,0,1
beatles_sgt_peppers_hearts_03.wav,The Beatles,heart,1,1,0.5,0.5,0.5,2,3,1,1
beatles_sgt_peppers_hearts_04.wav,The Beatles,heart,1,1,0.5,0.5,0.5,2,3,2,1
beatles_eleanor_rigby_face_01.wav,The Beatles,face,1,1,0.5,0.5,0.25,2,2,0,1
beatles_here_comes_faces_01.wav,The Beatles,face,1,1,0.5,0.5,0.75,2,2,1,1
diana_reflections_eyes_02.wav,Diana Ross,eye,1,1,0.5,0.5,0,1,1,0,1
diana_im_still_wating_eyes_01.wav,Diana Ross,eye,1,1,0.25,0.25,0,1,1,0,1
diana_someday_heart_01.wav,Diana Ross,heart,1,1,0.5,0.5,0.5,2,2,0,1
diana_endless_love_hearts_01.wav,Diana Ross,heart,1,1,0.5,0.5,0.375,2,2,1,1
diana_im_still_wating_face_01.wav,Diana Ross,face,1,1,0.5,0.5,0.75,2,2,0,1
diana_im_still_wating_face_02.wav,Diana Ross,face,1,1,0.5,0.5,0.25,2,2,1,1
michael_billie_hearts_01.wav,Michael Jackson,heart,1,1,0.5,0.5,0,2,2,0,1
michael_billie_hearts_02.wav,Michael Jackson,heart,1,1,0.5,0.5,0,2,2,1,1
michael_thriller_heart_01.wav,Michael Jackson,heart,1,1,0.25,0.25,0,1,1,0,1
michael_beat_it_face_01.wav,Michael Jackson,face,1,1,0.5,0.5,0.5,1,1,0,1
michael_thriller_eyes_01.wav,Michael Jackson,eye,1,1,0.25,0.25,0.5,4,3,0,1
michael_thriller_eyes_02.wav,Michael Jackson,eye,1,1,0.25,0.25,0.5,4,3,1,1
michael_thriller_eyes_03.wav,Michael Jackson,eye,1,1,0.25,0.25,0.5,4,3,2,1
madonna_frozen_heart_01.wav,Madonna,heart,1,1,0.5,0.5,0,2,2,0,1
madonna_frozen_heart_05.wav,Madonna,heart,1,1,0.5,0.5,0,2,2,1,1
madonna_frozen_heart_03.wav,Madonna,heart,1,1,0.25,0.25,0,1,1,0,1
madonna_like_a_prayer_eyes_01.wav,Madonna,eye,1,1,0.25,0.25,0.5,4,2,0,1
madonna_like_a_prayer_eyes_02.wav,Madonna,eye,1,1,0.25,0.25,0.5,4,2,1,1
madonna_bad_girl_lips_02.wav,Madonna,mouth,1,1,0.5,0.5,0.5,2,2,0,1
madonna_bad_girl_lips_03.wav,Madonna,mouth,1,1,0.5,0.5,0.5,2,2,1,1
green_geek_face_01.wav,Green Day,face,1,1,0.25,0.25,0,4,3,0,1
green_geek_face_02.wav,Green Day,face,1,1,0.25,0.25,0,4,3,1,1
green_geek_face_03.wav,Green Day,face,1,1,0.25,0.25,0,4,3,2,1
green_homecoming_heart_01.wav,Green Day,heart,1,1,0.25,0.25,0.5,1,1,0,1
green_homecoming_heart_02.wav,Green Day,heart,1,1,0.5,0.5,0.5,2,2,0,1
green_brain_mouth_01.wav,Green Day,mouth,1,1,0.5,0.5,0.5,2,2,1,1
mariah_my_all_your_eyes_01.wav,Mariah Carey,eye,1,1,0.5,0.5,0,2,2,0,1
mariah_say_something_eyes_01.wav,Mariah Carey,eye,1,1,0.5,0.5,0,2,2,1,1
mariah_we_belong_heart_01.wav,Mariah Carey,heart,1,1,0.5,0.5,0.5,2,2,0,1
mariah_butterfly_heart_01.wav,Mariah Carey,heart,1,1,0.5,0.5,0.5,2,2,1,1
mariah_touch_mouth_01.wav,Mariah Carey,mouth,1,1,0.5,0.5,0.75,2,2,0,1
